bucket,metric_source,num_cases,top1,top3,top5,recall_at_50,median_rank,mean_rank,mrr
3<=HPO<=5,original_hgnn_topk,496,0.2439516129032258,0.32056451612903225,0.3790322580645161,0.6330645161290323,10.0,54.640732265446225,0.30932817435686333
3<=HPO<=5,candidate_recall_boost,496,0.20362903225806453,0.29838709677419356,0.3588709677419355,0.6370967741935484,11.0,54.224256292906176,0.2826841818586565
6<=HPO<=10,original_hgnn_topk,1022,0.2553816046966732,0.3395303326810176,0.3953033268101761,0.6418786692759295,9.0,56.99671772428884,0.3238965716695524
6<=HPO<=10,candidate_recall_boost,1022,0.2309197651663405,0.33659491193737767,0.3913894324853229,0.6448140900195695,9.0,54.0218818380744,0.3094943106214482
Bucket 1: label gap,original_hgnn_topk,8,0.0,0.0,0.0,0.375,50.0,83.2,0.015120317404807699
Bucket 1: label gap,candidate_recall_boost,8,0.0,0.0,0.0,0.375,27.0,81.2,0.019205622974706942
Bucket 2: HPO vocabulary gap,original_hgnn_topk,99,0.0,0.1919191919191919,0.25252525252525254,0.5757575757575758,20.5,60.6,0.12004852195792029
Bucket 2: HPO vocabulary gap,candidate_recall_boost,99,0.06060606060606061,0.1717171717171717,0.25252525252525254,0.5454545454545454,20.0,55.7625,0.14760618985366716
Bucket 3: HPO sparsity gap,original_hgnn_topk,221,0.0,0.06787330316742081,0.13122171945701358,0.4841628959276018,33.5,84.35057471264368,0.07112330376794283
Bucket 3: HPO sparsity gap,candidate_recall_boost,221,0.03167420814479638,0.09049773755656108,0.1493212669683258,0.4796380090497738,32.5,82.12068965517241,0.09402704054825689
Bucket 4: HPO noise gap,original_hgnn_topk,131,0.0,0.10687022900763359,0.183206106870229,0.5114503816793893,30.0,74.22018348623853,0.09052376215332933
Bucket 4: HPO noise gap,candidate_recall_boost,131,0.015267175572519083,0.06870229007633588,0.12213740458015267,0.5114503816793893,31.0,71.6697247706422,0.0823320643237246
Bucket 5: phenotype granularity gap,original_hgnn_topk,570,0.0,0.08771929824561403,0.13333333333333333,0.47368421052631576,36.0,85.02494802494803,0.07459592879784255
Bucket 5: phenotype granularity gap,candidate_recall_boost,570,0.04035087719298246,0.09649122807017543,0.13508771929824562,0.47543859649122805,39.0,83.81288981288981,0.10016504590808166
Bucket 6: multi-label evaluation gap,original_hgnn_topk,215,0.0,0.09767441860465116,0.13953488372093023,0.4186046511627907,39.0,89.9875,0.0723655082682967
Bucket 6: multi-label evaluation gap,candidate_recall_boost,215,0.03255813953488372,0.10697674418604651,0.17209302325581396,0.40930232558139534,40.5,86.3875,0.09964313688421458
Bucket 7: candidate recall gap,original_hgnn_topk,1021,0.0,0.0,0.0,0.0,137.0,175.58169014084507,0.005810402354841364
Bucket 7: candidate recall gap,candidate_recall_boost,1021,0.0009794319294809011,0.0009794319294809011,0.002938295788442703,0.07541625857002938,130.0,164.33661971830986,0.008651710907493431
Bucket 8: ranking gap,original_hgnn_topk,763,0.0,0.0,0.0,1.0,19.0,21.709043250327653,0.06879920694636217
Bucket 8: ranking gap,candidate_recall_boost,763,0.027522935779816515,0.07732634338138926,0.14809960681520315,0.9357798165137615,16.0,20.78505897771953,0.11943045943544935
HPO<=2,original_hgnn_topk,141,0.10638297872340426,0.1773049645390071,0.2127659574468085,0.5319148936170213,23.0,73.20175438596492,0.17127524597326035
HPO<=2,candidate_recall_boost,141,0.11347517730496454,0.19148936170212766,0.24822695035460993,0.5460992907801419,23.0,71.6140350877193,0.17996072890702494
HPO>10,original_hgnn_topk,1319,0.2835481425322214,0.3889310083396513,0.4336618650492798,0.6914329037149356,7.0,49.089850249584025,0.35833510383739015
HPO>10,candidate_recall_boost,1319,0.2896133434420015,0.38968915845337376,0.45034116755117515,0.7065959059893859,6.0,45.14475873544093,0.36850498376495044
seen_label,original_hgnn_topk,2907,0.25834193326453386,0.3508771929824561,0.4000687994496044,0.6573787409700722,9.0,53.4247889485802,0.32898216685770526
seen_label,candidate_recall_boost,2907,0.2473340213278294,0.347781217750258,0.40522875816993464,0.6666666666666666,8.0,50.554105909439755,0.3254306101960943
unbucketed,original_hgnn_topk,276,0.0,0.6485507246376812,1.0,1.0,3.0,3.1630434782608696,0.3565821256038647
unbucketed,candidate_recall_boost,276,0.2427536231884058,0.5978260869565217,0.7862318840579711,1.0,3.0,4.163043478260869,0.46218130154469045
unseen_label,original_hgnn_topk,71,0.28169014084507044,0.3380281690140845,0.43661971830985913,0.647887323943662,5.0,67.19672131147541,0.35058765233358913
unseen_label,candidate_recall_boost,71,0.22535211267605634,0.30985915492957744,0.4084507042253521,0.647887323943662,6.0,61.57377049180328,0.308736509560953
