split,dataset,n,gold@1,gold@3,gold@5,gold@10,gold@30,gold@50,gold_not_top50,gold_missing_index,cases_with_duplicate_mondo,cases_candidate_count_lt50,candidate_file
validation,DDD,164,0.3170731707317073,0.43902439024390244,0.5121951219512195,0.5792682926829268,0.6341463414634146,0.6890243902439024,51,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,FakeDisease,1163,0.7540842648323302,0.8357695614789338,0.8632846087704213,0.8959587274290628,0.9260533104041273,0.94067067927773,69,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,HMS,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,LIRICAL,33,0.12121212121212122,0.30303030303030304,0.42424242424242425,0.5151515151515151,0.6666666666666666,0.696969696969697,10,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,MME,3,1.0,1.0,1.0,1.0,1.0,1.0,0,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,MyGene2,11,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,5,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,RAMEDIS,40,0.725,0.8,0.875,0.875,0.9,0.9,4,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,mimic_rag_0425,729,0.22359396433470508,0.3292181069958848,0.3813443072702332,0.4540466392318244,0.6008230452674898,0.6707818930041153,240,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
validation,ALL,2146,0.5279589934762349,0.6230195712954334,0.6644920782851818,0.7134203168685928,0.7870456663560111,0.8233923578751164,379,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv
test,DDD,761,0.3035479632063075,0.4296977660972405,0.46780551905387646,0.5466491458607096,0.671484888304862,0.7293035479632063,206,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,HMS,25,0.36,0.44,0.56,0.64,0.72,0.76,6,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,LIRICAL,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,9,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,MME,10,0.8,0.9,0.9,0.9,0.9,0.9,1,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,MyGene2,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,2,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,RAMEDIS,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,5,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,mimic_test_recleaned_mondo_hpo_rows,1873,0.19914575547250402,0.29738387613454353,0.34863854778430325,0.4180459156433529,0.5483182060864923,0.6294714361986119,694,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
test,ALL,2978,0.2857622565480188,0.3888515782404298,0.43552719946272667,0.5040295500335796,0.6215580926796508,0.6900604432505036,923,not_applicable_candidate_file,0,0,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv
