case_id,gold_mondo,gold_name,hpo_count,gold_rank,top1_mondo,top1_name,failure_type,possible_reason
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_2,MONDO:0009692,primary myelofibrosis,12,60,MONDO:0018646,sclerosing cholangitis,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_5,MONDO:0100480,autoimmune primary adrenal insufficiency,12,134,MONDO:0016264,autoimmune hepatitis,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_8,MONDO:0100480,autoimmune primary adrenal insufficiency,11,119,MONDO:0015128,primary adrenal insufficiency,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_9,MONDO:0019801,acute adrenal insufficiency,12,160,MONDO:0018874,acute myeloid leukemia,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_10,MONDO:0100480,autoimmune primary adrenal insufficiency,15,139,MONDO:0015264,cryptogenic organizing pneumonia,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_12,MONDO:0100480,autoimmune primary adrenal insufficiency,12,116,MONDO:0011382,sickle cell disease,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_16,MONDO:0019801,acute adrenal insufficiency,14,101,MONDO:0015128,primary adrenal insufficiency,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_21,MONDO:0019801,acute adrenal insufficiency,14,67,MONDO:0017215,calciphylaxis,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_1,MONDO:0009692,primary myelofibrosis,13,15,MONDO:0016264,autoimmune hepatitis,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_11,MONDO:0100480,autoimmune primary adrenal insufficiency,14,48,MONDO:0015128,primary adrenal insufficiency,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_29,MONDO:0100480,autoimmune primary adrenal insufficiency,12,25,MONDO:0015127,pituitary deficiency,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_30,MONDO:0015128,primary adrenal insufficiency,14,12,MONDO:0015925,interstitial lung disease,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_35,MONDO:0100480,autoimmune primary adrenal insufficiency,10,42,MONDO:0007915,systemic lupus erythematosus,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_37,MONDO:0100480,autoimmune primary adrenal insufficiency,11,15,MONDO:0015128,primary adrenal insufficiency,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_3,MONDO:0009692,primary myelofibrosis,10,4,MONDO:0005789,hepatitis D virus infection,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_6,MONDO:0100480,autoimmune primary adrenal insufficiency,5,3,MONDO:0015127,pituitary deficiency,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1; low case HPO count; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_7,MONDO:0019801,acute adrenal insufficiency,15,5,MONDO:0015128,primary adrenal insufficiency,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_17,MONDO:0100480,autoimmune primary adrenal insufficiency,13,2,MONDO:0017215,calciphylaxis,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_18,MONDO:0100480,autoimmune primary adrenal insufficiency,10,2,MONDO:0015128,primary adrenal insufficiency,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_20,MONDO:0015128,primary adrenal insufficiency,13,5,MONDO:0011382,sickle cell disease,SIMILAR_DISEASE_CONFUSION,gold is near top but not top1; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_32,MONDO:0100480,autoimmune primary adrenal insufficiency,5,334,MONDO:0019632,Lyme disease,HPO_MAPPING_LOSS,gold outside HGNN top50 candidate set; low case HPO count; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_46,MONDO:0005854,mixed connective tissue disease,4,8,MONDO:0015821,mycosis fungoides and variants,LOW_HPO_COUNT,gold is recallable but ranked below top5; low case HPO count
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_48,MONDO:0019527,undifferentiated connective tissue syndrome,3,91,MONDO:0800029,obsolete interstitial lung disease 2,HPO_MAPPING_LOSS,gold outside HGNN top50 candidate set; low case HPO count; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_75,MONDO:0007256,hepatocellular carcinoma,3,93,MONDO:0004114,urinary bladder small cell neuroendocrine carcinoma,HPO_MAPPING_LOSS,gold outside HGNN top50 candidate set; low case HPO count; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_84,MONDO:0015588,limbic encephalitis,5,472,MONDO:0018177,glioblastoma,LOW_HPO_COUNT,gold outside HGNN top50 candidate set; low case HPO count; generic/low-specificity HPO profile
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_87,MONDO:0004977,angioimmunoblastic T-cell lymphoma,1,81,MONDO:0014095,dilated cardiomyopathy 1JJ,HPO_MAPPING_LOSS,gold outside HGNN top50 candidate set; low case HPO count; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_62,MONDO:0012061,familial sick sinus syndrome,20,678,MONDO:0015925,interstitial lung disease,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_199,MONDO:0018876,mantle cell lymphoma,21,32,MONDO:0015264,cryptogenic organizing pneumonia,RERANK_SORTING_FAILURE,gold is recallable but ranked below top5; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_208,MONDO:0004967,acute lymphoblastic leukemia,20,80,MONDO:0015128,primary adrenal insufficiency,HPO_MAPPING_LOSS,gold outside HGNN top50 candidate set; zero overlap with gold disease hyperedge
test::LLLdataset/dataset/processed/test/mimic_test_recleaned_mondo_hpo_rows.csv::case_271,MONDO:0019635,idiopathic achalasia,21,64,MONDO:0015264,cryptogenic organizing pneumonia,GOLD_NOT_IN_TOP50,gold outside HGNN top50 candidate set; generic/low-specificity HPO profile
