bucket,num_cases,case_ratio,final_top1,final_top3,final_top5,final_rank_le_50,final_median_rank,final_mean_rank,mean_baseline_rank,mean_rank_delta_baseline_minus_final,similar_gold_evidence_ratio,obsolete_label_ratio,multilabel_ratio
final_rank>50,645,0.3443673251468233,0.0,0.0,0.0,0.0,9999.0,9274.415503875969,1115.8403100775195,-8158.57519379845,0.0,0.04806201550387597,0.16744186046511628
final_rank 21-50,259,0.1382808328884143,0.0,0.0,0.0,1.0,33.0,33.9034749034749,209.44787644787644,175.54440154440155,0.5328185328185329,0.011583011583011582,0.12355212355212356
final_rank 6-20,215,0.11478910838227442,0.0,0.0,0.0,1.0,10.0,10.911627906976744,13.38139534883721,2.469767441860465,0.26046511627906976,0.03255813953488372,0.11627906976744186
final_rank 2-5,362,0.19327282434596904,0.0,0.6878453038674033,1.0,1.0,3.0,3.0303867403314917,6.168508287292818,3.138121546961326,0.8397790055248618,0.016574585635359115,0.10497237569060773
final_rank=1,392,0.20928990923651897,1.0,1.0,1.0,1.0,1.0,1.0,1.961734693877551,0.9617346938775511,1.0,0.01020408163265306,0.061224489795918366
baseline_rank>50 -> final_rank<=50,104,0.055525894287239724,0.0,0.0,0.0,1.0,35.0,35.72115384615385,472.875,437.15384615384613,1.0,0.009615384615384616,0.125
baseline_rank 6-50 -> final_rank<=5,168,0.08969567538707955,0.15476190476190477,0.6488095238095238,1.0,1.0,3.0,2.9464285714285716,11.470238095238095,8.523809523809524,1.0,0.005952380952380952,0.06547619047619048
baseline_rank<=5 -> final_rank>5 harmed,53,0.02829684997330486,0.0,0.0,0.0,1.0,7.0,7.150943396226415,3.5660377358490565,-3.5849056603773586,0.0,0.03773584905660377,0.1320754716981132
baseline_rank=1 -> final_rank>1 harmed,69,0.03683929524826481,0.0,0.855072463768116,0.9710144927536232,1.0,2.0,2.608695652173913,1.0,-1.608695652173913,0.6376811594202898,0.043478260869565216,0.057971014492753624
